Web_Link,URN,School_name,Ofsted_phase,Ofsted_region,Local_authority,Postcode,Total_number_of_pupils,Inspection_start_date,Inspection_end_date,Publication_date,Does_the_latest_graded_inspection_relate_to_the_URN_of_the_current_school,Overall_effectiveness,Category_of_concern,Quality_of_education,Behaviour_and_attitudes,Personal_development,Effectiveness_of_leadership_and_management,Safeguarding_is_effective,lat,lon
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138136,138136,The Arthur Terry School,Secondary,West Midlands,Birmingham,B74 4RZ,1730,2022-11-15,2022-11-16,2023-01-15,Yes,Good,,Good,Outstanding,Outstanding,Outstanding,Yes,52.5893325,-1.8360377
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138137,138137,Stockland Green School,Secondary,West Midlands,Birmingham,B23 7JH,745,2017-11-21,2017-11-22,2017-12-20,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.52341352,-1.85997798
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138194,138194,Erdington Hall Primary School,Primary,West Midlands,Birmingham,B24 8JJ,372,2016-05-24,2016-05-25,2016-06-24,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.512438833,-1.842239733
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138208,138208,Woodfield Academy,Secondary,West Midlands,Worcestershire,B98 7HH,561,2022-07-06,2022-08-06,2022-07-20,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Requires Improvement,Requires Improvement,Yes,52.29687,-1.92293
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138216,138216,The Priory School,Secondary,West Midlands,Shropshire,SY3 9EE,844,2013-06-13,2013-06-14,2013-03-07,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.6954585,-2.7685412
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138218,138218,Dorrington Academy,Primary,West Midlands,Birmingham,B42 1QR,652,2019-06-11,2019-07-11,2019-08-12,Yes,Outstanding,,Outstanding,Outstanding,Outstanding,Outstanding,Yes,52.529411967,-1.922058333
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138222,138222,Aston University Engineering Academy,Secondary,West Midlands,Birmingham,B7 4AG,713,2022-12-01,2022-01-13,2022-03-02,Yes,Good,,Good,Good,Outstanding,Good,Yes,52.4891132,-1.8862831
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138268,138268,Barrow 1618 CofE Free School,Primary,West Midlands,Shropshire,TF12 5BW,98,2016-06-15,2016-06-16,2016-06-09,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.5980518,-2.5050586
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138303,138303,Warren Farm Primary School,Primary,West Midlands,Birmingham,B44 0DT,327,2019-11-09,2019-12-09,2019-10-10,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.542111344,-1.876542556
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138343,138343,Woodlands Academy of Learning,Primary,West Midlands,Walsall,WV12 5PR,457,2023-03-13,2023-03-14,2023-05-18,Yes,Good,,Good,Good,Good,Good,Yes,52.60573,-2.03392
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138351,138351,The Rural Enterprise Academy,Secondary,West Midlands,Staffordshire,ST19 5PH,207,2018-09-05,2018-10-05,2018-12-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.7025957,-2.1199058
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138374,138374,West Walsall E-ACT Academy,Secondary,West Midlands,Walsall,WS2 9UA,1178,2017-10-31,2017-01-11,2017-11-23,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.5824857,-2.0101051
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138395,138395,Chilwell Croft Academy,Primary,West Midlands,Birmingham,B19 2QH,393,2019-01-16,2019-01-17,2019-07-02,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.49507635,-1.89740285
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138396,138396,Nechells Primary E-ACT Academy,Primary,West Midlands,Birmingham,B7 5LB,181,2021-05-19,2021-05-20,2021-06-29,Yes,Good,,Good,Outstanding,Good,Good,Yes,52.5040887,-1.86316185
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138397,138397,Ark Tindal Primary Academy,Primary,West Midlands,Birmingham,B12 9QS,440,2014-09-10,2014-10-10,2014-07-11,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.4554604,-1.888971567
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138410,138410,Percy Shurmer Academy,Primary,West Midlands,Birmingham,B12 9ED,457,2023-05-24,2023-05-25,2023-10-07,Yes,Outstanding,,Outstanding,Outstanding,Outstanding,Outstanding,Yes,52.4637884,-1.8911873
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138420,138420,Croft Academy,Primary,West Midlands,Walsall,WS2 8JE,255,2022-04-26,2022-04-27,2022-06-16,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.593018,-1.9896379
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138425,138425,The Shirestone Academy,Primary,West Midlands,Birmingham,B33 0DH,233,2014-01-05,2014-02-05,2014-03-06,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.47915405,-1.7676286
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138431,138431,Race Leys Junior School,Primary,West Midlands,Warwickshire,CV12 8HG,235,2019-05-02,2019-06-02,2019-11-03,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.484511,-1.4761687
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138432,138432,St Clement's Church of England Academy,Primary,West Midlands,Birmingham,B7 5NS,230,2014-05-14,2014-05-15,2014-09-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.500541615,-1.867909354
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138433,138433,"St Michael's CofE Primary Academy, Handsworth",Primary,West Midlands,Birmingham,B21 0UX,174,2021-09-21,2021-09-22,2021-11-15,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.5003116,-1.9253811
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138435,138435,Tamworth Enterprise College and AET Academy,Secondary,West Midlands,Staffordshire,B77 2NE,586,2022-06-14,2022-06-15,2022-09-21,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Good,Good,Yes,52.61471805,-1.6715737
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138452,138452,Reedswood E-ACT Academy,Primary,West Midlands,Walsall,WS2 8RX,491,2016-05-24,2016-05-25,2016-06-28,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.5886691,-2.0014865
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138462,138462,Tudor Grange Primary Academy Hockley Heath,Primary,West Midlands,Solihull,B94 6RA,221,2014-03-13,2014-03-14,2014-03-04,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.35206514,-1.77953808
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138497,138497,Harpfield Primary Academy,Primary,West Midlands,Stoke-on-Trent,ST4 6AP,225,2015-01-13,2015-01-14,2015-10-02,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,53.0112387,-2.2137583
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138505,138505,Arrow Vale High School,Secondary,West Midlands,Worcestershire,B98 0GF,833,2018-04-12,2018-05-12,2019-01-13,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.2981107,-1.8972931
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138536,138536,Balsall Common Primary School,Primary,West Midlands,Solihull,CV7 7FS,713,2014-02-26,2014-02-27,2014-03-20,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.3852988,-1.6508644
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138540,138540,Jubilee Academy Mossley,Primary,West Midlands,Walsall,WS3 2SQ,228,2015-03-03,2015-04-03,2015-04-20,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.62197,-2.01932
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138548,138548,Sutherland Primary Academy,Primary,West Midlands,Stoke-on-Trent,ST3 3DY,539,2017-05-17,2017-05-18,2017-06-13,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.9772113,-2.1546114
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138549,138549,Haywood Academy,Secondary,West Midlands,Stoke-on-Trent,ST6 7AB,1130,2023-04-19,2023-04-20,2023-06-14,Yes,Good,,Good,Good,Good,Good,Yes,53.0545049,-2.1898384
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138550,138550,Eaton Park Academy,Primary,West Midlands,Stoke-on-Trent,ST2 9PF,474,2015-01-14,2015-01-15,2015-02-13,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,53.0176257,-2.1454215
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138551,138551,The Crescent Academy,Primary,West Midlands,Stoke-on-Trent,ST3 6HZ,625,2014-03-27,2014-03-28,2014-02-05,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.9806899,-2.0885261
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138586,138586,Nishkam High School,Secondary,West Midlands,Birmingham,B19 2LF,673,2014-04-30,2014-01-05,2014-06-18,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.495536,-1.9064911
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138590,138590,Slade Primary School,Primary,West Midlands,Birmingham,B23 7PX,455,2018-05-12,2018-06-12,2019-06-01,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.51384235,-1.85826305
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138591,138591,Goldsmith Primary Academy,Primary,West Midlands,Walsall,WS3 1DL,441,2022-02-11,2022-03-11,2022-12-12,Yes,Good,,Good,Good,Outstanding,Outstanding,Yes,52.6101552,-1.9834135
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138606,138606,Blue Coat Church of England Academy,Secondary,West Midlands,Walsall,WS1 2ND,879,2014-09-24,2014-09-25,2014-10-18,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5805645,-1.976939
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138644,138644,Hartshill Academy,Secondary,West Midlands,Warwickshire,CV10 0NA,990,2023-01-24,2023-01-25,2023-09-03,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Good,Good,Yes,52.5404203,-1.5181404
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138664,138664,Waseley Hills High School,Secondary,West Midlands,Worcestershire,B45 9EL,764,2022-08-06,2022-09-06,2022-09-21,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Requires Improvement,Requires Improvement,Yes,52.39097376,-2.03133548
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138693,138693,Greenholm Primary School,Primary,West Midlands,Birmingham,B44 8HS,634,2014-08-05,2014-09-05,2014-09-19,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5370418,-1.8924148
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138694,138694,Barr View Primary & Nursery Academy,Primary,West Midlands,Birmingham,B44 8NT,444,2014-08-07,2014-09-07,2014-04-09,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5443147,-1.902784542
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138695,138695,George Dixon Academy,Secondary,West Midlands,Birmingham,B16 9GD,992,2022-06-28,2022-06-29,2022-09-21,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Requires Improvement,Requires Improvement,Yes,52.4762137,-1.9550938
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138722,138722,The Faber Catholic Primary School,Primary,West Midlands,Staffordshire,ST10 3DN,61,2011-11-17,2011-11-18,2011-09-12,No,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,53.0097272,-1.9056268
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138723,138723,St Filumena's Catholic Primary School,Primary,West Midlands,Staffordshire,ST11 9EA,173,2011-11-17,2011-11-18,2011-08-12,No,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.9837608,-2.0720503
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138724,138724,St Giles Catholic Primary School,Primary,West Midlands,Staffordshire,ST10 1ED,214,2014-04-30,2014-01-05,2014-05-23,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.9855703,-1.9887615
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138725,138725,St Mary's Catholic Academy,Primary,West Midlands,Staffordshire,ST13 8BW,176,2016-01-28,2016-01-29,2016-02-29,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,53.102621,-2.030142
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138726,138726,St Thomas' Catholic Primary School,Primary,West Midlands,Staffordshire,ST10 4DS,214,2016-06-21,2016-06-22,2016-05-09,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.9550761,-1.9849985
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138727,138727,St Joseph's Catholic Primary School,Primary,West Midlands,Staffordshire,ST14 7JX,187,2013-12-06,2013-06-13,2013-04-07,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.9006187,-1.872870475
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138728,138728,The Rawlett School (An Aet Academy),Secondary,West Midlands,Staffordshire,B79 9AA,1059,2022-11-29,2022-11-30,2023-01-29,Yes,Requires Improvement,,Good,Requires Improvement,Good,Requires Improvement,Yes,52.6522756,-1.701456
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138729,138729,Painsley Catholic College,Secondary,West Midlands,Staffordshire,ST10 1LH,1347,2022-05-17,2022-05-18,2022-07-07,Yes,Good,,Outstanding,Good,Good,Good,Yes,52.98137955,-1.9924525
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138767,138767,Shipston High School,Secondary,West Midlands,Warwickshire,CV36 4DY,591,2023-11-07,2023-12-07,2023-09-18,Yes,Good,,Good,Good,Good,Good,Yes,52.0660573,-1.6337563
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138799,138799,Nansen Primary School,Primary,West Midlands,Birmingham,B8 3HG,759,2022-03-29,2022-03-30,2022-05-19,Yes,Good,,Good,Good,Good,Good,Yes,52.490750067,-1.845538433
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138852,138852,St Peter's Collegiate Academy,Secondary,West Midlands,Wolverhampton,WV3 9DU,1316,2022-05-07,2022-06-07,2023-09-01,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Good,Good,Yes,52.5895055,-2.160746
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138864,138864,Montgomery Primary Academy,Primary,West Midlands,Birmingham,B11 1EH,513,2014-09-24,2014-09-25,2014-10-23,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.463598605,-1.86717955
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138883,138883,St John's & St Peter's CofE Academy,Primary,West Midlands,Birmingham,B16 8RN,208,2018-06-06,2018-07-06,2018-06-28,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.477578933,-1.922564367
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138888,138888,Billesley Primary School,Primary,West Midlands,Birmingham,B13 0ES,683,2019-05-14,2019-05-15,2019-06-17,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.425409375,-1.868422625
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138889,138889,Kings Rise Academy,Primary,West Midlands,Birmingham,B44 0JL,435,2023-06-13,2023-06-14,2023-07-24,Yes,Good,,Good,Good,Good,Good,Yes,52.550135017,-1.875457867
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138899,138899,The Mosley Academy,Primary,West Midlands,Staffordshire,DE13 9QD,211,2014-05-20,2014-05-21,2014-06-16,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.82447415,-1.687391
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138909,138909,Tanworth-in-Arden CofE Primary School,Primary,West Midlands,Warwickshire,B94 5AJ,224,2022-09-21,2022-09-22,2022-10-11,Yes,Good,,Good,Good,Good,Good,Yes,52.3333137,-1.8333347
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138912,138912,Dordon Primary School,Primary,West Midlands,Warwickshire,B78 1PJ,201,2014-06-24,2014-06-25,2014-07-15,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.6041776,-1.6160215
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138914,138914,Riverside Academy,Primary,West Midlands,Warwickshire,CV21 1EH,208,2014-05-13,2014-05-14,2014-09-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.3858063,-1.2763037
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138915,138915,Oakfield Primary Academy,Primary,West Midlands,Warwickshire,CV22 6AU,400,2016-06-14,2016-06-15,2016-11-07,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.36688,-1.27168
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138934,138934,Birchwood Primary School,Primary,West Midlands,Warwickshire,B78 1QU,440,2014-10-09,2014-11-09,2014-02-10,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.6093371,-1.6204312
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138936,138936,The Wilnecote School,Secondary,West Midlands,Staffordshire,B77 5LF,829,2022-11-10,2022-12-10,2022-11-20,Yes,Good,,Good,Good,Good,Good,Yes,52.60440275,-1.6648907
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138937,138937,King Edward VI Handsworth Wood Girls' Academy,Secondary,West Midlands,Birmingham,B20 2HL,1003,2014-05-22,2014-05-23,2014-12-06,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.5146301,-1.9286799
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138982,138982,Anglesey Primary Academy,Primary,West Midlands,Staffordshire,DE14 3LG,576,2019-03-12,2019-04-12,2020-01-15,Yes,Good,,Good,Good,Good,Good,Yes,52.7991288,-1.6449644
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138998,138998,Mansfield Green E-ACT Academy,Primary,West Midlands,Birmingham,B6 5NH,444,2018-06-26,2018-06-27,2018-07-25,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.503729433,-1.8949085
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139000,139000,Moor Green Primary Academy,Primary,West Midlands,Birmingham,B13 8QP,448,2019-09-01,2019-10-01,2019-02-26,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.43817926,-1.90898018
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139001,139001,Perry Wood Primary and Nursery School,Primary,West Midlands,Worcestershire,WR5 1PP,389,2019-12-02,2019-02-13,2019-07-03,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.1931975,-2.1945551
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139002,139002,Reaside Academy,Primary,West Midlands,Birmingham,B45 0HY,195,2023-08-03,2023-09-03,2023-09-05,Yes,Good,,Good,Good,Good,Good,Yes,52.401345236,-2.024936471
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139003,139003,Lea Forest Primary Academy,Primary,West Midlands,Birmingham,B33 9RD,533,2022-07-12,2022-08-12,2023-01-30,Yes,Outstanding,,Outstanding,Outstanding,Outstanding,Outstanding,Yes,52.4831486,-1.7858187
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139007,139007,"Tudor Grange Primary Academy, St James",Primary,West Midlands,Solihull,B90 2BT,242,2017-11-21,2017-11-22,2018-03-01,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.407939,-1.8276401
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139011,139011,Tame Valley Academy,Primary,West Midlands,Birmingham,B36 8QJ,217,2014-05-22,2014-05-23,2014-06-13,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.507104767,-1.8129987
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139014,139014,Merritts Brook Primary E-ACT Academy,Primary,West Midlands,Birmingham,B31 5QD,217,2015-03-24,2015-03-25,2015-04-23,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.41165212,-1.99204804
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139020,139020,Ipsley CofE Middle School,Secondary,West Midlands,Worcestershire,B98 0UB,643,2014-09-17,2014-09-18,2014-11-22,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.30109,-1.89619
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139041,139041,"St Marys C of E Primary and Nursery, Academy, Handsworth",Primary,West Midlands,Birmingham,B20 2RW,431,2018-03-07,2018-04-07,2018-03-09,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.5118782,-1.91889095
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139043,139043,Bristnall Hall Academy,Secondary,West Midlands,Sandwell,B68 9PA,1017,2016-01-11,2016-02-11,2016-08-12,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.4843239,-1.9933655
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139047,139047,Four Dwellings Academy,Secondary,West Midlands,Birmingham,B32 1RJ,548,2017-05-16,2017-05-17,2017-12-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.45550055,-2.0031104
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139048,139048,Greenwood Academy,Secondary,West Midlands,Birmingham,B35 7NL,956,2021-10-19,2021-10-20,2021-11-22,Yes,Good,,Good,Good,Good,Good,Yes,52.51926528,-1.78071558
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139068,139068,Thistley Hough Academy,Secondary,West Midlands,Stoke-on-Trent,ST4 5JJ,998,2017-03-22,2017-03-23,2017-04-26,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.998154,-2.2014008
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139102,139102,Lakelands Academy,Secondary,West Midlands,Shropshire,SY12 0EA,555,2022-01-18,2022-01-19,2022-02-16,Yes,Good,,Good,Good,Good,Good,Yes,52.9041393,-2.9024361
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139120,139120,Oasis Academy Blakenhale Infants,Primary,West Midlands,Birmingham,B33 0XD,269,2016-12-13,2016-12-14,2017-01-16,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.47398475,-1.7838492
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139125,139125,Oasis Academy Short Heath,Primary,West Midlands,Birmingham,B23 5JP,467,2014-08-10,2014-09-10,2014-05-11,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.53285166,-1.8584642
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139126,139126,"St George's Church of England Academy, Newtown",Primary,West Midlands,Birmingham,B19 3QY,315,2022-06-15,2022-06-16,2022-09-21,Yes,Requires Improvement,,Requires Improvement,Good,Good,Good,Yes,52.4902543,-1.90294305
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139127,139127,The Nethersole CofE Academy,Primary,West Midlands,Warwickshire,B78 1DZ,268,2021-11-30,2021-01-12,2022-07-02,Yes,Inadequate,SWK,Inadequate,Requires Improvement,Requires Improvement,Requires Improvement,Yes,52.6205525,-1.606033
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139128,139128,Oasis Academy Woodview,Primary,West Midlands,Birmingham,B15 2HU,407,2022-09-13,2022-09-14,2022-10-20,Yes,Requires Improvement,,Requires Improvement,Good,Good,Good,Yes,52.4669969,-1.90645725
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/139129,139129,Oasis Academy Blakenhale Junior,Primary,West Midlands,Birmingham,B33 0XG,350,2019-03-07,2019-04-07,2019-10-09,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.473545967,-1.782293433
